Avl, B, Rubro
1239340, 5425094, 2989829
1243407, 5442960, 2999802
1247590, 5460974, 3009728
1251718, 5478979, 3019793
1255846, 5497005, 3029754
1259938, 5515000, 3039944
1264137, 5533337, 3049869
1268217, 5551418, 3059927
1272372, 5569550, 3069993
1276535, 5587651, 3080201
1280769, 5605950, 3090290
1284941, 5624162, 3100441
1289158, 5642375, 3110711
1293323, 5660824, 3120979
1297491, 5679198, 3131195
1301688, 5697610, 3141384
1305951, 5715979, 3151762
1310188, 5734393, 3161887
1314407, 5752957, 3172209
1318598, 5771486, 3182336
1322895, 5790144, 3192413
1327076, 5808866, 3202666
1331275, 5827483, 3212904
1335477, 5846009, 3223276
1339677, 5864597, 3233790
1343949, 5883310, 3244248
1348220, 5902122, 3254552
1352505, 5920680, 3264909
1356791, 5939442, 3275494
1361117, 5958342, 3285926
1365419, 5977327, 3296274
1369782, 5996273, 3306822
1374058, 6015263, 3317391
1378336, 6034144, 3328054
1382657, 6052988, 3338461
1386912, 6072011, 3349144
1391252, 6090971, 3359638
1395558, 6110214, 3370365
1399897, 6129207, 3381041
1404169, 6148430, 3391672
1408578, 6167668, 3402230
1412977, 6186860, 3412752
1417403, 6205972, 3423520
1421754, 6225258, 3434302
1426169, 6244325, 3445123
1430632, 6263790, 3455866
1435001, 6283036, 3466620
1439426, 6302597, 3477340
1443814, 6322110, 3488136
1448177, 6341434, 3498880
1452571, 6361144, 3509789
1457005, 6380900, 3520754
1461429, 6400502, 3531893
1465895, 6420107, 3542683
1470333, 6439788, 3553544
1474853, 6459401, 3564559
1479303, 6479040, 3575417
1483813, 6498843, 3586325
1488282, 6518513, 3597273
1492897, 6538389, 3608059
1497445, 6558164, 3619107
1501970, 6578123, 3630096
1506455, 6597922, 3640981
1510994, 6617690, 3652271
1515488, 6637667, 3663280
1520054, 6657755, 3674390
1524592, 6677609, 3685410
1529152, 6697556, 3696584
1533777, 6717550, 3707587
1538335, 6737723, 3718954
1542900, 6757651, 3730087
1547590, 6777805, 3741192
1552209, 6798087, 3752450
1556861, 6818286, 3763592
1561502, 6838397, 3774883
1566069, 6858478, 3786451
1570683, 6878736, 3797788
1575255, 6899097, 3809085
1579899, 6919376, 3820362
1584540, 6939899, 3831764
1589203, 6960088, 3843056
1593882, 6980545, 3854426
1598623, 7001013, 3865710
1603292, 7021655, 3877027
1608067, 7042203, 3888259
1612850, 7063037, 3899686
1617549, 7083422, 3911085
1622150, 7104081, 3922681
1626871, 7124726, 3934396
1631659, 7145390, 3945815
1636423, 7166151, 3957317
1641135, 7187091, 3969134
1645850, 7207728, 3980681
1650593, 7228428, 3992268
1655361, 7249439, 4003955
