Avl, B, Rubro
2403, 19489, 18368 
2407, 19518, 18405 
2410, 19548, 18440 
2415, 19579, 18476 
2418, 19613, 18511 
2422, 19663, 18549 
2425, 19693, 18584 
2431, 19724, 18620 
2434, 19756, 18655 
2438, 19791, 18692 
2441, 19844, 18727 
2446, 19874, 18763 
2449, 19905, 18798 
2453, 19937, 18837 
2456, 19972, 18872 
2463, 20056, 18908 
2466, 20084, 18943 
2470, 20113, 18980 
2473, 20143, 19015 
2478, 20176, 19051 
2481, 20223, 19086 
2485, 20251, 19124 
2488, 20280, 19159 
2494, 20310, 19195 
2497, 20343, 19230 
2501, 20391, 19267 
2504, 20419, 19302 
2509, 20448, 19338 
2512, 20478, 19373 
2516, 20511, 19415 
2519, 20560, 19450 
2529, 20589, 19486 
2532, 20619, 19521 
2536, 20650, 19558 
2539, 20684, 19593 
2544, 20736, 19629 
2547, 20765, 19664 
2551, 20795, 19702 
2554, 20826, 19737 
2560, 20860, 19773 
2563, 20926, 19808 
2567, 20954, 19845 
2570, 20983, 19880 
2575, 21013, 19916 
2578, 21046, 19951 
2582, 21093, 19990 
2585, 21121, 20025 
2592, 21150, 20061 
2595, 21180, 20096 
2599, 21213, 20133 
2602, 21261, 20168 
2607, 21289, 20204 
2610, 21318, 20239 
2614, 21348, 20277 
2617, 21381, 20312 
2623, 21430, 20348 
2626, 21459, 20383 
2630, 21489, 20420 
2633, 21520, 20455 
2638, 21554, 20491 
2641, 21606, 20526 
2645, 21635, 20566 
2648, 21665, 20601 
2656, 21696, 20637 
2659, 21730, 20672 
2663, 21797, 20709 
2666, 21825, 20744 
2671, 21854, 20780 
2674, 21884, 20815 
2678, 21917, 20853 
2681, 21964, 20888 
2687, 21992, 20924 
2690, 22021, 20959 
2694, 22051, 20996 
2697, 22084, 21031 
2702, 22132, 21067 
2705, 22160, 21102 
2709, 22189, 21141 
2712, 22219, 21176 
2719, 22252, 21212 
2722, 22301, 21247 
2726, 22330, 21284 
2729, 22360, 21319 
2734, 22391, 21355 
2737, 22425, 21390 
2741, 22477, 21428 
2744, 22506, 21463 
2750, 22536, 21499 
2753, 22567, 21534 
2757, 22601, 21571 
2760, 22669, 21606 
2765, 22698, 21642 
2768, 22728, 21677 
2772, 22759, 21718 
2775, 22793, 21753 
2784, 22841, 21789 
2787, 22870, 21824 
2791, 22900, 21861 
2794, 22931, 21896 
2799, 22965, 21932 
2802, 23014, 21967 
2806, 23043, 22005 
2809, 23073, 22040 
2815, 23104, 22076 
2818, 23138, 22111 
2822, 23188, 22148 
2825, 23218, 22183 
2830, 23249, 22219 
2833, 23281, 22254 
2837, 23316, 22293 
2840, 23369, 22328 
2847, 23399, 22364 
2850, 23430, 22399 
2854, 23462, 22436 
2857, 23497, 22471 
2862, 23568, 22507 
2865, 23597, 22542 
2869, 23627, 22580 
2872, 23658, 22615 
2878, 23692, 22651 
2881, 23740, 22686 
2885, 23769, 22723 
2888, 23799, 22758 
2893, 23830, 22794 
2896, 23864, 22829 
2900, 23913, 22869 
2903, 23942, 22904 
2911, 23972, 22940 
2914, 24003, 22975 
2918, 24037, 23012 
2921, 24087, 23047 
2926, 24117, 23083 
2929, 24148, 23118 
2933, 24180, 23156 
2936, 24215, 23191 
2942, 24268, 23227 
2945, 24298, 23262 
2949, 24329, 23299 
2952, 24361, 23334 
2957, 24396, 23370 
2960, 24481, 23405 
2964, 24509, 23444 
2967, 24538, 23479 
2974, 24568, 23515 
2977, 24601, 23550 
2981, 24648, 23587 
2984, 24676, 23622 
2989, 24705, 23658 
2992, 24735, 23693 
2996, 24768, 23731 
2999, 24816, 23766 
3005, 24844, 23802 
3008, 24873, 23837 
3012, 24903, 23874 
3015, 24936, 23909 
3020, 24985, 23945 
3023, 25014, 23980 
3027, 25044, 24021 
3030, 25075, 24058 
3041, 25109, 24096 
3044, 25161, 24133 
3048, 25190, 24172 
3051, 25220, 24209 
3056, 25251, 24247 
3059, 25285, 24284 
3063, 25351, 24324 
3066, 25379, 24361 
3072, 25408, 24399 
3075, 25438, 24436 
3079, 25471, 24475 
3082, 25518, 24512 
3087, 25546, 24550 
3090, 25575, 24587 
3094, 25605, 24628 
3097, 25638, 24665 
3104, 25686, 24703 
3107, 25714, 24740 
3111, 25743, 24779 
3114, 25773, 24816 
3119, 25806, 24854 
3122, 25855, 24891 
3126, 25884, 24931 
3129, 25914, 24968 
3135, 25945, 25006 
3138, 25979, 25043 
3142, 26031, 25082 
3145, 26060, 25119 
3150, 26090, 25157 
3153, 26121, 25194 
3157, 26155, 25236 
3160, 26222, 25273 
3168, 26250, 25311 
3171, 26279, 25348 
3175, 26309, 25387 
3178, 26342, 25424 
3183, 26389, 25462 
3186, 26417, 25499 
3190, 26446, 25539 
3193, 26476, 25576 
3199, 26509, 25614 
3202, 26557, 25651 
3206, 26585, 25690 
3209, 26614, 25727 
3214, 26644, 25765 
3217, 26677, 25802 
3221, 26726, 25843 
3224, 26755, 25880 
3231, 26785, 25918 
3234, 26816, 25955 
3238, 26850, 25994 
3241, 26902, 26031 
3246, 26931, 26069 
3249, 26961, 26106 
3253, 26992, 26146 
3256, 27026, 26183 
3262, 27094, 26221 
3265, 27123, 26258 
3269, 27153, 26297 
